X,Y,Z,TYPE,BOUND,com_area,mount,veg,port,h_dev,rivers,USAGE_ALL
3.0,0.0,818.957.301.816,land,no_bound,N,N,N,N,N,N,
3.0,3.0,773.404.235.687,land,no_bound,N,N,N,N,N,N,
3.0,6.0,722.739.735.307,land,no_bound,N,N,N,N,N,N,
3.0,9.0,674.333.145.662,land,no_bound,N,N,N,N,N,N,
3.0,12.0,680.333.167.624,land,no_bound,N,N,N,N,N,N,
3.0,15.0,745.779.793.113,land,no_bound,N,N,N,N,N,N,
3.0,18.0,878.058.649.863,land,no_bound,N,N,N,N,N,N,
3.0,21.0,103.258.959.351,land,no_bound,N,N,N,N,N,N,
3.0,24.0,114.115.312.456,land,no_bound,N,N,N,N,N,N,
3.0,27.0,123.064.093.209,land,no_bound,N,N,N,N,N,N,
3.0,30.0,116.723.170.331,land,no_bound,N,N,N,N,N,N,
3.0,33.0,106.239.360.668,land,no_bound,N,N,N,N,N,N,
3.0,36.0,949.776.283.692,land,no_bound,N,N,N,N,N,N,
3.0,39.0,905.692.997.898,land,no_bound,N,N,N,N,N,N,
3.0,42.0,867.223.174.528,land,no_bound,N,N,N,N,N,N,
3.0,45.0,843.990.969.843,land,no_bound,N,N,N,N,N,N,
3.0,48.0,883.916.248.820,land,no_bound,N,N,N,N,N,N,
3.0,51.0,857.796.236.799,land,no_bound,N,N,N,N,N,N,
3.0,54.0,723.919.139.048,land,no_bound,N,N,N,N,N,N,
3.0,57.0,573.650.435.876,land,no_bound,N,N,veg,N,N,N,veg
3.0,60.0,314.737.342.511,land,no_bound,N,N,N,N,N,N,
3.0,63.0,381.743.821.561,land,no_bound,N,N,N,N,N,N,
3.0,66.0,492.312.417.766,land,no_bound,N,N,N,N,N,N,
3.0,69.0,359.584.435.485,land,no_bound,N,N,N,N,N,N,
3.0,72.0,105.426.650.782,land,no_bound,N,N,N,N,N,N,
3.0,75.0,0.12893215693,land,no_bound,N,N,N,N,N,N,
3,78,0,sea,no_bound,N,N,N,N,N,N,
3,81,0,sea,no_bound,N,N,N,N,N,N,
3,84,0,sea,no_bound,N,N,N,N,N,N,
3,87,0,sea,no_bound,N,N,N,N,N,N,
3,90,0,sea,no_bound,N,N,N,N,N,N,
3,93,0,sea,no_bound,N,N,N,N,N,N,
3,96,0,sea,no_bound,N,N,N,N,N,N,
3,99,0,sea,no_bound,N,N,N,N,N,N,
3,102,0,sea,no_bound,N,N,N,N,N,N,
3,105,0,sea,no_bound,N,N,N,N,N,N,
3,108,0,sea,no_bound,N,N,N,N,N,N,
3,111,0,sea,no_bound,N,N,N,N,N,N,
3,114,0,sea,no_bound,N,N,N,N,N,N,
3,117,0,sea,no_bound,N,N,N,N,N,N,
3,120,0,sea,no_bound,N,N,N,N,N,N,
3,123,0,sea,no_bound,N,N,N,N,N,N,
3,126,0,sea,no_bound,N,N,N,N,N,N,
3,129,0,sea,no_bound,N,N,N,N,N,N,
3,132,0,sea,no_bound,N,N,N,N,N,N,
3,135,0,sea,no_bound,N,N,N,N,N,N,
3,138,0,sea,no_bound,N,N,N,N,N,N,
3,141,0,sea,no_bound,N,N,N,N,N,N,
3,144,0,sea,no_bound,N,N,N,N,N,N,
3,147,0,sea,no_bound,N,N,N,N,N,N,
3,150,0,sea,no_bound,N,N,N,N,N,N,
3,153,0,sea,no_bound,N,N,N,N,N,N,
3,156,0,sea,no_bound,N,N,N,N,N,N,
3,159,0,sea,no_bound,N,N,N,N,N,N,
3,162,0,sea,no_bound,N,N,N,N,N,N,
3,165,0,sea,no_bound,N,N,N,N,N,N,
3,168,0,sea,no_bound,N,N,N,N,N,N,
3,171,0,sea,no_bound,N,N,N,N,N,N,
3,174,0,sea,no_bound,N,N,N,N,N,N,
3,177,0,sea,no_bound,N,N,N,N,N,N,
3,180,0,sea,no_bound,N,N,N,N,N,N,
3,183,0,sea,no_bound,N,N,N,N,N,N,
3,186,0,sea,no_bound,N,N,N,N,N,N,
3,189,0,sea,no_bound,N,N,N,N,N,N,
3,192,0,sea,no_bound,N,N,N,N,N,N,
3,195,0,sea,no_bound,N,N,N,N,N,N,
3,198,0,sea,no_bound,N,N,N,N,N,N,
3,201,0,sea,no_bound,N,N,N,N,N,N,
3,204,0,sea,no_bound,N,N,N,N,N,N,
3,207,0,sea,no_bound,N,N,N,N,N,N,
3,210,0,sea,no_bound,N,N,N,N,N,N,
3,213,0,sea,no_bound,N,N,N,N,N,N,
3,216,0,sea,no_bound,N,N,N,N,N,N,
3,219,0,sea,no_bound,N,N,N,N,N,N,
3,222,0,sea,no_bound,N,N,N,N,N,N,
3,225,0,sea,no_bound,N,N,N,N,N,N,
3,228,0,sea,no_bound,N,N,N,N,N,N,
3,231,0,sea,no_bound,N,N,N,N,N,N,
3,234,0,sea,no_bound,N,N,N,N,N,N,
3,237,0,sea,no_bound,N,N,N,N,N,N,
3,240,0,sea,no_bound,N,N,N,N,N,N,
3,243,0,sea,no_bound,N,N,N,N,N,N,
3,246,0,sea,no_bound,N,N,N,N,N,N,
3,249,0,sea,no_bound,N,N,N,N,N,N,
3,252,0,sea,no_bound,N,N,N,N,N,N,
3,255,0,sea,no_bound,N,N,N,N,N,N,
3,258,0,sea,no_bound,N,N,N,N,N,N,
3,261,0,sea,no_bound,N,N,N,N,N,N,
3,264,0,sea,no_bound,N,N,N,N,N,N,
3,267,0,sea,no_bound,N,N,N,N,N,N,
3,270,0,sea,no_bound,N,N,N,N,N,N,
3,273,0,sea,no_bound,N,N,N,N,N,N,
3,276,0,sea,no_bound,N,N,N,N,N,N,
3,279,0,sea,no_bound,N,N,N,N,N,N,
3,282,0,sea,no_bound,N,N,N,N,N,N,
3,285,0,sea,no_bound,N,N,N,N,N,N,
3,288,0,sea,no_bound,N,N,N,N,N,N,
3,291,0,sea,no_bound,N,N,N,N,N,N,
3,294,0,sea,no_bound,N,N,N,N,N,N,
3,297,0,sea,no_bound,N,N,N,N,N,N,
3,300,0,sea,no_bound,N,N,N,N,N,N,
3,303,0,sea,no_bound,N,N,N,N,N,N,
3,306,0,sea,no_bound,N,N,N,N,N,N,
3,309,0,sea,no_bound,N,N,N,N,N,N,
3,312,0,sea,no_bound,N,N,N,N,N,N,
3,315,0,sea,no_bound,N,N,N,N,N,N,
3,318,0,sea,no_bound,N,N,N,N,N,N,
3,321,0,sea,no_bound,N,N,N,N,N,N,
6.0,0.0,786.056.245.453,land,no_bound,N,N,N,N,N,N,
6.0,3.0,763.569.507.222,land,no_bound,N,N,N,N,N,N,
6.0,6.0,768.447.898.973,land,no_bound,N,N,N,N,N,N,
6.0,9.0,793.236.372.499,land,no_bound,N,N,N,N,N,N,
6.0,12.0,868.579.432.968,land,no_bound,N,N,N,N,N,N,
6.0,15.0,993.330.116.384,land,no_bound,N,N,N,N,N,N,
6.0,18.0,115.570.528.765,land,no_bound,N,N,N,N,N,N,
6.0,21.0,129.260.695.301,land,no_bound,N,N,N,N,N,N,
6.0,24.0,132.910.011.931,land,no_bound,N,N,N,N,N,N,
6.0,27.0,131.235.154.901,land,no_bound,N,N,N,N,N,N,
6.0,30.0,126.383.848.837,land,no_bound,N,N,N,N,N,N,
6.0,33.0,117.244.076.311,land,no_bound,N,N,N,N,N,N,
6.0,36.0,983.666.265.203,land,no_bound,N,N,N,N,N,N,
6.0,39.0,973.090.339.367,land,no_bound,N,N,N,N,N,N,
6.0,42.0,116.214.304.738,land,no_bound,N,N,N,N,N,N,
6.0,45.0,130.846.454.682,land,no_bound,N,N,N,N,N,N,
6.0,48.0,125.800.591.884,land,no_bound,N,N,N,N,N,N,
6.0,51.0,979.827.691.798,land,no_bound,N,N,N,N,N,N,
6.0,54.0,927.593.364.161,land,no_bound,N,N,N,N,N,N,
6.0,57.0,670.953.607.188,land,no_bound,N,N,veg,N,N,N,veg
6.0,60.0,494.501.617.073,land,no_bound,N,N,veg,N,N,N,veg
6.0,63.0,562.017.304.813,land,no_bound,N,N,N,N,N,N,
6.0,66.0,702.950.724.079,land,no_bound,N,N,N,N,N,N,
6.0,69.0,599.283.655.608,land,no_bound,N,N,N,N,N,N,
6.0,72.0,414.275.232.235,land,no_bound,N,N,N,N,N,N,
6.0,75.0,211.577.091.657,land,no_bound,N,N,N,N,N,N,
6.0,78.0,0.746251742246,land,no_bound,N,N,N,N,N,N,
6.0,81.0,0.752614630252,land,no_bound,N,N,N,N,N,N,
6.0,84.0,0.130119005325,land,no_bound,N,N,N,N,N,N,
6,87,0,sea,no_bound,N,N,N,N,N,N,
6,90,0,sea,no_bound,N,N,N,N,N,N,
6,93,0,sea,no_bound,N,N,N,N,N,N,
6,96,0,sea,no_bound,N,N,N,N,N,N,
6,99,0,sea,no_bound,N,N,N,N,N,N,
6,102,0,sea,no_bound,N,N,N,N,N,N,
6,105,0,sea,no_bound,N,N,N,N,N,N,
6,108,0,sea,no_bound,N,N,N,N,N,N,
6,111,0,sea,no_bound,N,N,N,N,N,N,
6,114,0,sea,no_bound,N,N,N,N,N,N,
6,117,0,sea,no_bound,N,N,N,N,N,N,
6,120,0,sea,no_bound,N,N,N,N,N,N,
6,123,0,sea,no_bound,N,N,N,N,N,N,
6,126,0,sea,no_bound,N,N,N,N,N,N,
6,129,0,sea,no_bound,N,N,N,N,N,N,
6,132,0,sea,no_bound,N,N,N,N,N,N,
6,135,0,sea,no_bound,N,N,N,N,N,N,
6,138,0,sea,no_bound,N,N,N,N,N,N,
6,141,0,sea,no_bound,N,N,N,N,N,N,
6,144,0,sea,no_bound,N,N,N,N,N,N,
6,147,0,sea,no_bound,N,N,N,N,N,N,
6,150,0,sea,no_bound,N,N,N,N,N,N,
6,153,0,sea,no_bound,N,N,N,N,N,N,
6,156,0,sea,no_bound,N,N,N,N,N,N,
6,159,0,sea,no_bound,N,N,N,N,N,N,
6,162,0,sea,no_bound,N,N,N,N,N,N,
6,165,0,sea,no_bound,N,N,N,N,N,N,
6,168,0,sea,no_bound,N,N,N,N,N,N,
6,171,0,sea,no_bound,N,N,N,N,N,N,
6,174,0,sea,no_bound,N,N,N,N,N,N,
6,177,0,sea,no_bound,N,N,N,N,N,N,
6,180,0,sea,no_bound,N,N,N,N,N,N,
6,183,0,sea,no_bound,N,N,N,N,N,N,
6,186,0,sea,no_bound,N,N,N,N,N,N,
6,189,0,sea,no_bound,N,N,N,N,N,N,
6,192,0,sea,no_bound,N,N,N,N,N,N,
6,195,0,sea,no_bound,N,N,N,N,N,N,
6,198,0,sea,no_bound,N,N,N,N,N,N,
6,201,0,sea,no_bound,N,N,N,N,N,N,
6,204,0,sea,no_bound,N,N,N,N,N,N,
6,207,0,sea,no_bound,N,N,N,N,N,N,
6,210,0,sea,no_bound,N,N,N,N,N,N,
6,213,0,sea,no_bound,N,N,N,N,N,N,
6,216,0,sea,no_bound,N,N,N,N,N,N,
6,219,0,sea,no_bound,N,N,N,N,N,N,
6,222,0,sea,no_bound,N,N,N,N,N,N,
